progress,window_size,issueE,issueB,issueD,issueC,issueA
0.113044580078125,1,0.11631205728595867,0.33617021253206936,0.1304964535245375,0.33617021253206936,0.08085106412536504
0.1148462890625,6,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.2333333333333237,0.06666666666670515
0.1157447265625,11,0.2,0.2,0.2,0.2,0.2
0.11624462890625,420,0.24274011784591296,0.2587207180281637,0.23798760266745184,0.2587207180281637,0.0018308434303078074
0.1285021240234375,1,0.11006711606630416,0.33825503316100786,0.13691274920757635,0.33825503316100786,0.07651006840410393
0.130303857421875,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.1311074462890625,11,0.2,0.2,0.2,0.2,0.2
0.131410400390625,420,0.24281851183700526,0.25882842366113906,0.23805727958776043,0.25882842366113906,0.0014673612529561087
0.141751416015625,1,0.10445860418961028,0.34012738696464406,0.13630573056528072,0.34012738696464406,0.07898089131582084
0.1432041015625,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.14390751953125,11,0.2,0.2,0.2,0.2,0.2
0.144307568359375,16,0.2,0.2,0.2,0.2,0.2
0.1451049072265625,420,0.24288143439230375,0.25891487306309474,0.2381132054286324,0.25891487306309474,0.001175614052874506
0.15686474609375,1,0.10235294751269611,0.34352940603769,0.1317647081680586,0.34352940603769,0.07882353224386544
0.1590617919921875,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.1597645751953125,11,0.2,0.2,0.2,0.2,0.2
0.1603617431640625,16,0.2,0.2,0.2,0.2,0.2
0.1608626953125,420,0.2429319057440131,0.25898421573601177,0.23815806458558972,0.25898421573601177,0.0009415981983737743
0.171724365234375,1,0.0983957342401543,0.3390374363359418,0.14117645291015032,0.3390374363359418,0.0823529401778119
0.1737830322265625,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.17487900390625,11,0.2,0.2,0.2,0.2,0.2
0.1754789794921875,16,0.2,0.2,0.2,0.2,0.2
0.1763796142578125,420,0.24297236844872427,0.25903980751239775,0.2381940280135559,0.25903980751239775,0.0007539885129243836
0.19369697265625,1,0.09340104863685557,0.3421319721199313,0.13908628386310304,0.3421319721199313,0.08324872326017892
0.1953969970703125,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.196297021484375,11,0.2,0.2,0.2,0.2,0.2
0.1967969970703125,16,0.2,0.2,0.2,0.2,0.2
0.197397265625,420,0.243004793569076,0.25908435643844585,0.23822284760157872,0.25908435643844585,0.0006036459524535301
0.2080486572265625,1,0.09902909697263948,0.3417475696751075,0.13786408109043377,0.3417475696751075,0.07961168258671193
0.2095486083984375,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.2103519287109375,11,0.2,0.2,0.2,0.2,0.2
0.210956591796875,16,0.2,0.2,0.2,0.2,0.2
0.211456591796875,420,0.24303076891856468,0.2591200440137236,0.23824593460520097,0.2591200440137236,0.0004832084487871258
0.2258647705078125,1,0.10540529313890798,0.3396396719476519,0.14144136955514477,0.3396396719476519,0.07387399341064356
0.227863671875,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.229064306640625,11,0.2,0.2,0.2,0.2,0.2
0.2295640625,16,0.2,0.2,0.2,0.2,0.2
0.2301641845703125,21,0.2,0.2,0.2,0.2,0.2
0.231165087890625,420,0.24305157180179288,0.2591486251291202,0.23826442429830988,0.2591486251291202,0.00038675364165694843
0.2491427001953125,1,0.10308366703294558,0.34096915055863775,0.14273116537504568,0.34096915055863775,0.0722468664747332
0.252792041015625,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.25419150390625,11,0.2,0.2,0.2,0.2,0.2
0.25589140625,16,0.2,0.2,0.2,0.2,0.2
0.25669208984375,21,0.2,0.2,0.2,0.2,0.2
0.25779150390625,420,0.24306822859604207,0.2591715099260664,0.23827922892949815,0.2591715099260664,0.00030952262232691885
0.2757036865234375,1,0.10338978054574696,0.34067797504280045,0.14576238222261442,0.34067797504280045,0.06949188714603773
0.2775001708984375,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.2785036376953125,11,0.2,0.2,0.2,0.2,0.2
0.279203515625,16,0.2,0.2,0.2,0.2,0.2
0.2797002197265625,21,0.2,0.2,0.2,0.2,0.2
0.280300146484375,420,0.24308156331449313,0.25918983051762334,0.2382910808852655,0.25918983051762334,0.0002476947649947329
0.29311142578125,1,0.11003944473536253,0.3389560429136722,0.14618426582402932,0.3389560429136722,0.06586420361326385
0.295711572265625,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.29701162109375,11,0.2,0.2,0.2,0.2,0.2
0.297611376953125,16,0.2,0.2,0.2,0.2,0.2
0.298111669921875,21,0.2,0.2,0.2,0.2,0.2
0.298811376953125,420,0.24309223703601887,0.2592044951611389,0.23830056773538988,0.2592044951611389,0.00019820490631347642
0.312114111328125,1,0.11647305966849253,0.3386975731005177,0.14329529596033103,0.3386975731005177,0.06283649817014116
0.3141151123046875,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.3151183837890625,11,0.2,0.2,0.2,0.2,0.2
0.315917431640625,16,0.2,0.2,0.2,0.2,0.2
0.3165174560546875,21,0.2,0.2,0.2,0.2,0.2
0.317514111328125,420,0.24310077982204556,0.2592162321088763,0.2383081606007728,0.2592162321088763,0.00015859535942913856
0.33188115234375,1,0.11629438920613547,0.33851881767749475,0.14222280728942316,0.33851881767749475,0.06444516814945185
0.334137890625,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.3353376708984375,11,0.2,0.2,0.2,0.2,0.2
0.3361378662109375,16,0.2,0.2,0.2,0.2,0.2
0.3366376708984375,21,0.2,0.2,0.2,0.2,0.2
0.337137646484375,26,0.2,0.2,0.2,0.2,0.2
0.3381376220703125,420,0.2431076164899769,0.25922562501816343,0.2383142370609707,0.25922562501816343,0.0001268964127254973
0.35236669921875,1,0.11294935156442108,0.33956814303273863,0.14532286501902694,0.33956814303273863,0.06259149735107462
0.3546667724609375,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.355866748046875,11,0.2,0.2,0.2,0.2,0.2
0.356665625,16,0.2,0.2,0.2,0.2,0.2
0.357266943359375,21,0.2,0.2,0.2,0.2,0.2
0.3577667236328125,26,0.2,0.2,0.2,0.2,0.2
0.3586632080078125,420,0.24311308738610773,0.2592331414913332,0.23831909961725103,0.2592331414913332,0.00010153001397495522
0.37787265625,1,0.11249973031841078,0.33819520509550344,0.15069031033100186,0.33819520509550344,0.06041954915958044
0.380979150390625,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.3824305419921875,11,0.2,0.2,0.2,0.2,0.2
0.3833305419921875,16,0.2,0.2,0.2,0.2,0.2
0.38433046875,21,0.2,0.2,0.2,0.2,0.2
0.38533017578125,26,0.2,0.2,0.2,0.2,0.2
0.387331103515625,420,0.24311746510294222,0.25923915604367415,0.23832299055101724,0.25923915604367415,8.123225869232442e-05
0.404354052734375,1,0.11838815596423,0.33578899909533205,0.14515222580338713,0.33578899909533205,0.06488162004171885
0.40675380859375,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.4080539794921875,11,0.2,0.2,0.2,0.2,0.2
0.408954150390625,16,0.2,0.2,0.2,0.2,0.2
0.40955400390625,21,0.2,0.2,0.2,0.2,0.2
0.4100539794921875,26,0.2,0.2,0.2,0.2,0.2
0.4110580078125,420,0.24312096791656304,0.25924396856505455,0.2383261038670012,0.25924396856505455,6.499108632659671e-05
0.42836572265625,1,0.11493513360988822,0.3357173506245916,0.14415937352471678,0.3357173506245916,0.06947079161621164
0.4308695068359375,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.432217138671875,11,0.2,0.2,0.2,0.2,0.2
0.433319384765625,16,0.2,0.2,0.2,0.2,0.2
0.433920556640625,21,0.2,0.2,0.2,0.2,0.2
0.4345204833984375,26,0.2,0.2,0.2,0.2,0.2
0.4354204833984375,420,0.24312377057725937,0.2592478191451833,0.2383285948840201,0.2592478191451833,5.199624835394281e-05
0.4563350341796875,1,0.11410790333836793,0.3366774043646527,0.14232687689152357,0.3366774043646527,0.07021041104080292
0.45933447265625,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.4607354248046875,11,0.2,0.2,0.2,0.2,0.2
0.46163505859375,16,0.2,0.2,0.2,0.2,0.2
0.462285693359375,21,0.2,0.2,0.2,0.2,0.2
0.4629859130859375,26,0.2,0.2,0.2,0.2,0.2
0.4639859130859375,420,0.24312601296814018,0.2592508999696933,0.23833058793078973,0.2592508999696933,4.159916168349646e-05
0.482901220703125,1,0.11670612618792786,0.3385954733040415,0.13801806841764616,0.3385954733040415,0.06808485878634293
0.4854976806640625,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.4867981201171875,11,0.2,0.2,0.2,0.2,0.2
0.487698095703125,16,0.2,0.2,0.2,0.2,0.2
0.488598095703125,21,0.2,0.2,0.2,0.2,0.2
0.489098095703125,26,0.2,0.2,0.2,0.2,0.2
0.4905015380859375,420,0.24312780704875867,0.25925336485999845,0.23833218251744798,0.25925336485999845,3.328071379659134e-05
0.517872998046875,1,0.1155426162224371,0.3384092132616616,0.13902273676315885,0.3384092132616616,0.06861622049108063
0.5220712646484374,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.5238234375,11,0.2,0.2,0.2,0.2,0.2
0.5250231201171875,16,0.2,0.2,0.2,0.2,0.2
0.5259229248046875,21,0.2,0.2,0.2,0.2,0.2
0.526523095703125,26,0.2,0.2,0.2,0.2,0.2
0.5278232177734375,420,0.2431292424207319,0.2592553369199074,0.23833345828230187,0.2592553369199074,2.6625457151492232e-05
0.5483391845703125,1,0.11501271427154769,0.334474629074507,0.14551145623583536,0.334474629074507,0.07052657134360292
0.5517468017578125,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.553512841796875,11,0.2,0.2,0.2,0.2,0.2
0.5547127685546875,16,0.2,0.2,0.2,0.2,0.2
0.55541279296875,21,0.2,0.2,0.2,0.2,0.2
0.5561129150390625,26,0.2,0.2,0.2,0.2,0.2
0.5570128173828125,420,0.24313039078710377,0.2592569146623497,0.23833447895532878,0.2592569146623497,2.130093286826916e-05
0.5801559814453126,1,0.11491401355873779,0.3344471734609238,0.14201095573433126,0.3344471734609238,0.07418068378508341
0.5844080810546874,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.587410107421875,11,0.2,0.2,0.2,0.2,0.2
0.5886082275390625,16,0.2,0.2,0.2,0.2,0.2
0.5898080078125,21,0.2,0.2,0.2,0.2,0.2
0.5905107421875,26,0.2,0.2,0.2,0.2,0.2
0.591413134765625,420,0.24313130952423243,0.25925817691679803,0.23833529553288538,0.25925817691679803,1.704110928614023e-05
0.6157366943359375,1,0.11252546801534265,0.33528732069237477,0.14426108962070433,0.33528732069237477,0.07263880097920353
0.6195391845703125,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.6222873046875,11,0.2,0.2,0.2,0.2,0.2
0.62488798828125,16,0.2,0.2,0.2,0.2,0.2
0.6258879150390625,21,0.2,0.2,0.2,0.2,0.2
0.627087890625,26,0.2,0.2,0.2,0.2,0.2
0.6293881103515625,420,0.2431320445421172,0.2592591867590758,0.2383359488199788,0.2592591867590758,1.3633119752395798e-05
0.6597603515625,1,0.11469020386089465,0.3344090993468787,0.1406557992589419,0.3344090993468787,0.07583579818640612
0.663112109375,6,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.2399999995628839,0.0400000017484644
0.6649127197265625,11,0.2,0.2,0.2,0.2,0.2
0.66591689453125,16,0.2,0.2,0.2,0.2,0.2
0.6671128662109375,21,0.2,0.2,0.2,0.2,0.2
0.668413427734375,26,0.2,0.2,0.2,0.2,0.2
0.67011201171875,420,0.24313263257446233,0.2592599946576795,0.23833647146568518,0.2592599946576795,1.0906644493507116e-05
0.6984755615234375,1,0.11464832150346473,0.3343858843927005,0.14238064266420922,0.3343858843927005,0.07419926704692507
0.701882568359375,6,0.17339732777481973,0.24277511101374552,0.24277511101374552,0.24277511101374552,0.09827733918394371
0.7036345703125,11,0.2,0.2,0.2,0.2,0.2
0.7049343505859375,16,0.2,0.2,0.2,0.2,0.2
0.705938916015625,21,0.2,0.2,0.2,0.2,0.2
0.7068350830078125,26,0.2,0.2,0.2,0.2,0.2
0.70793466796875,420,0.24313310301188276,0.2592606409924233,0.23833688959251093,0.2592606409924233,8.725410759758908e-06
0.7379804443359375,1,0.11498517261971541,0.3335840985723596,0.14401515169891718,0.3335840985723596,0.0738314785366483
0.7411878173828125,6,0.17339732777481973,0.24277511101374552,0.24277511101374552,0.24277511101374552,0.09827733918394371
0.743342724609375,11,0.2,0.2,0.2,0.2,0.2
0.7455428466796875,16,0.2,0.2,0.2,0.2,0.2
0.7478429931640626,21,0.2,0.2,0.2,0.2,0.2
0.74914296875,26,0.2,0.2,0.2,0.2,0.2
0.7502431884765625,420,0.24313347936920776,0.2592611580703696,0.23833722410053862,0.2592611580703696,6.980389514572904e-06
0.78212431640625,1,0.11747316334925745,0.33288628103404505,0.14191630945173053,0.33288628103404505,0.07483796513092186
0.7872777099609375,6,0.17339732777481973,0.24277511101374552,0.24277511101374552,0.24277511101374552,0.09827733918394371
0.789277294921875,11,0.2,0.2,0.2,0.2,0.2
0.791077685546875,16,0.2,0.2,0.2,0.2,0.2
0.7922776611328125,21,0.2,0.2,0.2,0.2,0.2
0.7931312255859375,26,0.2,0.2,0.2,0.2,0.2
0.79413115234375,420,0.24313378045979656,0.25926157173922354,0.23833749171116372,0.25926157173922354,5.584350592600644e-06
0.8191402099609375,1,0.1165751913795031,0.3341637084150264,0.14083149259394526,0.3341637084150264,0.07426589919649884
0.82429599609375,6,0.17339732777481973,0.24277511101374552,0.24277511101374552,0.24277511101374552,0.09827733918394371
0.8260963134765625,11,0.2,0.2,0.2,0.2,0.2
0.8273967529296875,16,0.2,0.2,0.2,0.2,0.2
0.828298095703125,21,0.2,0.2,0.2,0.2,0.2
0.829396630859375,26,0.2,0.2,0.2,0.2,0.2
0.8306969482421875,420,0.24313402133529416,0.25926190267846494,0.23833770580235383,0.25926190267846494,4.467505422197068e-06
